2026-02-11 13:15:46 | XMRUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=5
2026-02-11 13:15:46 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=26
2026-02-11 13:15:46 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=95
2026-02-11 13:16:22 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=19
2026-02-11 13:16:22 | XMRUSDT | Blocked by: orderbook_quality | spread=0.02%, vol=16
2026-02-11 13:16:22 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=21
2026-02-11 13:16:22 | CLANKERUSDT | Blocked by: orderbook_quality | spread=0.08%, vol=21
2026-02-11 13:16:22 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=3
2026-02-11 13:16:22 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=38
2026-02-11 13:16:22 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=74
2026-02-11 13:16:59 | CLANKERUSDT | Blocked by: orderbook_quality | spread=0.04%, vol=24
2026-02-11 13:16:59 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=56
2026-02-11 13:17:00 | XMRUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=8
2026-02-11 13:17:00 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=22
2026-02-11 13:17:00 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=3
2026-02-11 13:17:00 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=52
2026-02-11 13:17:01 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=92
2026-02-11 13:17:40 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=26
2026-02-11 13:17:40 | CLANKERUSDT | Blocked by: orderbook_quality | spread=0.12%, vol=19
2026-02-11 13:17:40 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=23
2026-02-11 13:17:40 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=39
2026-02-11 13:17:40 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=159
2026-02-11 13:17:40 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=2
2026-02-11 13:17:40 | XMRUSDT | Blocked by: orderbook_quality | spread=0.03%, vol=6
2026-02-11 13:18:16 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=7
2026-02-11 13:18:16 | CLANKERUSDT | Blocked by: orderbook_quality | spread=0.04%, vol=35
2026-02-11 13:18:17 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=35
2026-02-11 13:18:17 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=18
2026-02-11 13:18:17 | XMRUSDT | Blocked by: orderbook_quality | spread=0.01%, vol=6
2026-02-11 13:18:17 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=81
2026-02-11 13:18:17 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=20
2026-02-11 13:18:53 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=80
2026-02-11 13:18:53 | XMRUSDT | Blocked by: orderbook_quality | spread=0.02%, vol=6
2026-02-11 13:18:53 | CLANKERUSDT | Blocked by: orderbook_quality | spread=0.06%, vol=17
2026-02-11 13:18:53 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=36
2026-02-11 13:18:53 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=18
2026-02-11 13:18:53 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=3
2026-02-11 13:18:54 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=85
2026-02-11 13:19:31 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=47
2026-02-11 13:19:31 | XMRUSDT | Blocked by: orderbook_quality | spread=0.02%, vol=6
2026-02-11 13:19:32 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=113
2026-02-11 13:19:32 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=5
2026-02-11 13:19:32 | CLANKERUSDT | Blocked by: orderbook_quality | spread=0.07%, vol=39
2026-02-11 13:19:32 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=15
2026-02-11 13:19:32 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=108
2026-02-11 13:20:09 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=22
2026-02-11 13:20:10 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=2
2026-02-11 13:20:10 | CLANKERUSDT | Blocked by: orderbook_quality | spread=0.08%, vol=31
2026-02-11 13:20:10 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=62
2026-02-11 13:20:10 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=58
